old_price,price,quantity,category_id,id,store_id,description,name
240,180,100,419f5dee-f364-45b0-97d2-941f23364047,077f1bd0-14c7-48f8-ba80-681333afb086,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,"بيرطب الشعر وبيلمعه من غير ملمس دهني وبيفك تشابك ","سيرم سيلكيفا "
235,200,50,419f5dee-f364-45b0-97d2-941f23364047,0a8a073d-a700-4c5d-a9ac-dd85f4669146,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,بيفرد الشعر لاحتوائه لماده اللانولين وزبده الشيا ومكونات اخري بتعمل علي فرد الشعر ومحاربه الهيشان ونعومه الشعر,"كريم الترميم "
90,65,50,f50e2d61-60c6-442c-ac62-74a72ac351e0,0e6a231c-0a95-45ec-9801-d32cf5254871,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,"مكونه من زبده الشيا وجوز الهند وزيت الأرجان وفيتامين e 
مرطبه للجسم وريحتها ثابته ","مخمريه زبده "
850,650,,a7e4fc81-a8d5-47ed-8d66-91e89c73dab3,19d4031f-1d29-4f67-a3cb-b3e4faee6473,51da23d7-691e-4119-a13b-6670c18bba93,Lace-trimmed blazer from the Nov brand,Lace cut blazer
275,150,19,0e847eb8-f4ee-4001-9649-484b30679c48,1a5fd1ab-eed4-4808-8647-ea41ef8f8712,117a41a8-6127-400d-a3d5-839d072ed61d,"  بنطلون جينز اولادي و بناتي تطريز ستايله حلو قوي برباط زي السويت بانس ",بنطلون جينز اطفال اولادي و بناتي
1230,1050,995,710ca756-d3a2-40f3-be28-1465b927dd2a,256689d1-22e6-4909-9281-f2b98857da2f,9cfdfcde-b865-4d48-865e-78edca0d1313,"Nourish, strengthen, and revive your hair naturally with the Moagaza Hair Care Set. Soft, shiny, and healthy hair from root to tip.
",Moagaza Hair Care Set + shampo Free
175,150,30,dc1da3e7-d354-44a5-b8aa-b9bba396680d,26664d3e-5688-4188-a21b-85aaa6f4a041,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,ثابت جدا وبمواد طبيعيه بيورد الخدود والشفايف وكميه كبيره تكفي سنين,چيلي تنت بالعكر الفاسي
120,80,100,f50e2d61-60c6-442c-ac62-74a72ac351e0,31039f87-9e45-4ae2-9818-ec9bf9591142,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,"صابون مغربي بزيت الزيتون الأصلي 
بيشيل الجلد الميت من اول استخدام ","الصابون المغربي الأصلي "
700,500,30,fba4092f-770a-4e8c-99a9-28d055f5d133,37c18924-d127-4ed7-b19e-8eefbeee65a3,6f832b3e-eb01-4659-a46a-1147be39571c,"معاك سلاح البقع الأقوى — منتجين بيكملوا بعض لأي بقعة.
Quick Fix 125ml — للطازجة. رش، افرك، خلاص.
Heavy Duty 300ml — للصعبة والقديمة. إنزيمات بتخترق البقعة من جوه.
Quick Fix: رش ← افرك ← اشطف
Heavy Duty: رش ← استنى 3 دقايق ← افرك ← اشطف
⚠️ بعيد عن الأطفال",bundle kit
600,500,9,ddf21666-db89-4d6f-99ba-0f5638a1ac43,3e103da1-8dc2-49fc-ac99-13252186ed40,2e5f69a2-4099-4eaa-a5ba-ccf1fc9bdcc4,"✔ تصميم فاخر
✔ خامة هاي كوبي محترمة
✔ مناسب للوك شيك","Alexander McQueen "
