created_at,id,vendor_id,facebook,font_family,instagram,primary_color,secondary_color,store_address,store_description,store_logo_url,store_name,store_phone,store_status,shipping_cost,total_visits,theme_type,layout_config
2026-03-26 00:01:35.682934,048d1c13-4e46-460a-9911-797a709fde37,e5315fd1-a52b-4e78-8555-69d32b527623,,Poppins,,#4f46e5,#8b5cf6,,,,Vibenaura,,Inactive,,3,,
2026-03-25 22:40:08.95592,0ab7044c-74b3-455c-ab7d-4c887968ff1d,5f4d8dc2-c89d-4796-aa53-302e5a0835ca,,Inter,,#ffd9a8,#ffffff,.,.,,AuraZenobia,0,Inactive,,6,,
2026-03-12 19:36:39.629227,117a41a8-6127-400d-a3d5-839d072ed61d,5e82b975-ba21-49cf-a1fe-f6d5d625e931,,Poppins,,#4f46e5,#8b5cf6,,"يمكنك الحصول علي الملابس بسعر المصنع والبيع بدايه من قطعه واحده ملابس بناتي واولادي وجينز احسن الخامات والبرندات في السوق المصري والشحن بنصف الثمن ",,Modocotton,,Inactive,,238,,
2026-04-29 09:40:42.891476,1ac4efc8-691e-4ac6-a62a-bb36f1d552c5,a603515f-b301-4402-8ac2-a495f0b482ef,,Inter,,#000000,#ffffff,"Baghdad, Al-Rustamiyah, Near Military College, 10001","بضاعة متنوعة، إلكترونيات، وإكسسوارات مع خدمة التوصيل لكافة المحافظات.
",,Baghdad-Store,07748558298,Inactive,,5,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-05-08 08:22:40.274418,215fa4b6-ba8f-4ccd-a337-bf4242d71cf3,1d357bd3-7ec8-42c5-be9e-f191e91b04a0,,Inter,,#800020,#0000ff,Jordan. Amman,Every thing for better life,,Alistore,0069297182529,Inactive,,,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-02-26 22:55:15.251079,2694d9bd-39cf-4321-8591-e609eabaf756,5ca35bdc-a622-40ff-a555-f4452afc4614,,Inter,,#ffffff,#000000,"Online ","FLUX STREET WEAR 
",,FLUX,01055350073,Inactive,,,,
2026-03-22 11:49:41.764429,276dc76f-419b-4ffd-9e62-96b07ccaa602,9e8ae0be-fc70-4b84-939d-5e22e5da19f5,,Inter,,#800020,#ffffff,Jordan,"For phone accessories ",,Nashmi,962789416654,Inactive,,,,
2026-05-15 19:18:00.023581,298c855a-f9f6-4c2b-94f3-6f045e51298f,8ed9b9c1-56af-443c-a017-5319d2bee980,,Inter,,#800020,#ffffff,"6 October ","All you need ",,Ra7eem,01009692649,Inactive,,,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-03-11 02:20:50.857653,2e5f69a2-4099-4eaa-a5ba-ccf1fc9bdcc4,aafdeeb2-59fc-4618-93d7-1747429b2306,https://www.facebook.com/share/1BRs1kZWiS/,Poppins,https://www.instagram.com/_dudes_store?igsh=MWdjNTB0cDgwcTlldg==,#636363,#ffffff,"6 October ",DuDes for every mode✨⚡,https://res.cloudinary.com/dnycajxc0/image/upload/v1773248721/fizvoetc7rzoebqhq5ji.jpg,dudesstore,01007418224,Inactive,,5,,
2026-03-23 19:43:36.713928,4101a6cb-1421-4a18-a42c-ece2dbbcc8a8,861eafbb-65f5-4afd-a560-681d136a3aaf,,Inter,,#800020,#ffffff,مدينة نصر,متخصص في بيع الساعات,,TimeWatches,01101103464,Inactive,,19,,
2026-04-16 11:16:11.960278,51909626-5ef9-4585-8c17-71ec734b6844,ee1e96fb-951f-4cc8-ba2c-8ff276160f98,,Inter,,#800020,#ffffff,CAIRO,"""حتة.. براند ملابس مصري بروحه، عالمي بتصميمه. إحنا مش بس بنصنع هدوم، إحنا بنقدم 'حتة' من أصلنا وقيمنا في كل قطعة. تصاميمنا بتمزج بين سحر الخط العربي وجمال الـ Streetwear المودرن، عشان تلبس حاجة تعبر عنك وعن معدنك الأصيل. حتة.. عشان أنت مش أي حد.""",,HEETA-BRAND,01112630681,Inactive,,3,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-04-16 20:11:09.70903,51da23d7-691e-4119-a13b-6670c18bba93,15792289-8c0d-420a-bbc8-eaa1410c2182,https://www.facebook.com/share/18H73aXL3v/?mibextid=wwXIfr,Inter,https://www.instagram.com/nov.storre?igsh=MWFxdTQwajZnYXhmMw==,#a96800,#000000,المنصوره,Women's clothing brand,https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/51da23d7-691e-4119-a13b-6670c18bba93/logo.jpeg,nov_store,0108181482,Active,,358,MINIMAL,"{""pages"":{""home"":true,""allProducts"":true},""sections"":[{""type"":""BANNER"",""image"":"""",""enabled"":true,""images"":[""https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/51da23d7-691e-4119-a13b-6670c18bba93/banner/banner.jpeg""]},{""type"":""FEATURED_PRODUCTS"",""productIds"":[],""enabled"":true},{""type"":""FOOTER"",""enabled"":true,""text"":""© 2025 Your Store. All rights reserved.""},{""type"":""CATEGORIES"",""enabled"":true}]}"
2026-03-26 12:47:40.929741,55d2541f-1f36-489b-9181-8b5772ce1849,6f4cb933-c4f0-480e-a632-5e6d4325ddfe,,Inter,,#ffe2d6,#ffecd4,"Cairo ","شنط حريمي ",,Chic__more_store,01020389825,Inactive,,,,
2026-02-19 12:23:08.900403,6f832b3e-eb01-4659-a46a-1147be39571c,8d59e915-f4cb-49ec-aff5-be856a6a1c24,,Poppins,,#231bbb,#8b5cf6,,test,https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/6f832b3e-eb01-4659-a46a-1147be39571c/logo.png,Be_Silvers,,Active,60,186,MODERN,"{""pages"":{""home"":true,""allProducts"":true},""sections"":[{""type"":""BANNER"",""enabled"":true,""images"":[""https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/6f832b3e-eb01-4659-a46a-1147be39571c/banner/banner.jpg""],""title"":""Welcome to Be Silvers"",""subtitle"":""Shop the best products""},{""type"":""CATEGORIES"",""enabled"":true},{""type"":""FEATURED_PRODUCTS"",""enabled"":true,""productIds"":[""ca0c025a-acc2-476b-9de1-261fa0fd8aba"",""e4fd704b-adb6-4fac-83f1-5f7316277fe3"",""c18a1170-8d3d-4dbf-af84-d81d497dbb68"",""e0593892-a939-4ca7-b511-24283286b92f""]},{""type"":""FOOTER"",""enabled"":true,""text"":""© 2025 Your Store. All rights reserved.""}]}"
2026-03-05 13:13:16.303607,756de6a2-c18f-4c92-b2d1-a030a5653cf8,ea87d8dd-4405-45e4-b960-67e8da519c9b,,Inter,,#000000,#ff0000," شارع فيصل الاربعين كعبيش","طباعه حراري ",,Petramug,01019513026,Inactive,,,,
2026-03-18 11:49:49.787496,7ee1290c-15fe-443f-8ebd-8d85029ba80f,cf54c5e0-96a0-44d0-9de7-ec52d5871708,,Inter,,#00ffff,#ffffff,"egypt giza ","sell products ",,melstroy.eg,201119249068,Inactive,,15,,
2026-03-05 21:12:06.105912,9cfdfcde-b865-4d48-865e-78edca0d1313,af3b792c-5bcf-4cd8-a8a4-f280c0d37e13,,Poppins,,#000000,#fcffff,,"hair care ",https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/9cfdfcde-b865-4d48-865e-78edca0d1313/logo.jpeg,moagaza_77,,Inactive,80,37494,MINIMAL,"{""pages"":{""home"":false,""allProducts"":true},""sections"":[{""type"":""FEATURED_PRODUCTS"",""enabled"":true,""productIds"":[]},{""type"":""CATEGORIES"",""enabled"":true},{""type"":""BANNER"",""enabled"":true,""images"":[],""title"":""Welcome to our store"",""subtitle"":""Shop the best products""},{""type"":""FOOTER"",""enabled"":true,""text"":""© 2025 Your Store. All rights reserved.""}]}"
2026-03-26 20:27:41.606656,ae9f8af4-c7a2-40f3-8de8-2d2b5ffac168,8df86530-97e9-454c-b705-4b9e30a8b8b2,,Inter,,#800020,#96d35f,"Faisal street,Giza","حنة وسدر ومشاط سعودي وارد من المملكة العربية السعودية 
اعلي جودة وبدون أتربة او اشوائب او خلط",,Pure_hair_products,01119823884,Inactive,,,,
2026-04-02 10:08:00.492368,b0984959-01e4-42f9-86a3-694e34105a45,2630ba76-a3bb-4f9d-9b2f-4a0f01271552,,Inter,,#000000,#ff0000,الفصل والجوده,"شتر من عنده ",,نصر,0778433168,Inactive,,,CLASSIC,"{
  ""pages"": {
    ""home"": true,
    ""allProducts"": true
  },
  ""sections"": [
    {
      ""type"": ""BANNER"",
      ""image"": """"
    },
    {
      ""type"": ""FEATURED_PRODUCTS"",
      ""productIds"": []
    }
  ]
}
"
2026-03-26 11:51:31.838227,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,f2aaf4f6-c4f8-4d5b-81f9-b902039fc041,https://www.facebook.com/share/1FvLJFrSEQ/?mibextid=wwXIfr,Poppins,dijora__cosmetics,#ff75b8,#ffaed8,"ميت غمر ش سيلكت ","كل مايخص البشره والشعر والجسم بمواد طبيعيه بنتيجه فعاله ",https://pub-e3f67119581e41a09e34c0a920c52720.r2.dev/stores/b3e2a517-b6b7-44e5-a644-afa4ead57d8f/logo.jpeg,Dijora,01069678673,Inactive,,330,CLASSIC,
2026-03-06 00:48:15.112442,c19ffee1-d484-4459-84dd-e32223a09169,3c694768-d832-400e-82f7-0397712a1b30,,,,#800020,#ffffff,"شارع الرحمة الإسلامية اخر سهم إمبابة ","اكسسورات حريمي ",,Nasmo,01206567608,Inactive,0,,,
